e, e_dot, e_int, stamp, 
-0.49989735234350086, 0.12131053807675467, -0.10401151295864823, 1731538635570115602, 
-0.47392844727541394, 0.15172337279537076, -0.09469881228497787, 1731538635658802969, 
-0.45217717071594876, 0.15906727209184032, -0.08983920814922317, 1731538635759117750, 
-0.435074329075662, 0.12951372733250643, -0.09528951063509619, 1731538635868818208, 
-0.4087605989340535, 0.14472190593965095, -0.09113251694588008, 1731538635970070681, 
-0.38868647947111334, 0.15462616534849558, -0.07810132453527814, 1731538636058919550, 
-0.37624778898729083, 0.10837603315587548, -0.07812056739133726, 1731538636169749242, 
-0.3564488987748611, 0.10745860232084088, -0.07179435451177496, 1731538636250988657, 
-0.33887313920587836, 0.12458216593804157, -0.07138895485801305, 1731538636369611966, 
-0.32229411537525543, 0.1138492779986855, -0.0702986368610236, 1731538636458233707, 
-0.304215264653223, 0.11552624850885114, -0.060941217026094244, 1731538636558991458, 
-0.29660233204042896, 0.08563927778275489, -0.05931149617493002, 1731538636650988805, 
-0.28998375094369067, 0.0474383790317745, -0.062491606895755746, 1731538636769447831, 
-0.273303183636763, 0.07766382801221994, -0.05942566569453218, 1731538636858314334, 
-0.25633406151289684, 0.11216563143597942, -0.051812075437631416, 1731538636959091858, 
-0.24746048843064727, 0.08614231735371902, -0.049669246838236994, 1731538637050063369, 
-0.23582778198375376, 0.0683542650971436, -0.0518254896534277, 1731538637169302478, 
-0.22133163120206945, 0.0870961907619261, -0.04905356714239442, 1731538637258914554, 
-0.20569168289614392, 0.10045366362536612, -0.04183046303166062, 1731538637358623111, 
-0.19411935751291765, 0.09070757896383934, -0.043394040950641234, 1731538637468499451, 
-0.1820548956532999, 0.07878929080948005, -0.04092675360946758, 1731538637569634365, 
-0.17272610826034374, 0.07131083084191303, -0.03478416262566282, 1731538637658611346, 
-0.16077497047963618, 0.07093308391221242, -0.032644704760561354, 1731538637759592622, 
-0.15015545911216854, 0.07523549716058398, -0.03062316607419052, 1731538637848559152, 
-0.14007728099120875, 0.0689922982947581, -0.0315692211446011, 1731538637969583851, 
-0.13454740901140916, 0.05202683366919795, -0.03045035989193168, 1731538638063614116, 
-0.12689680488868227, 0.043934920341754946, -0.018035559772951702, 1731538638104337980, 
-0.12328506176483067, 0.037541157488594955, -0.02050599908978126, 1731538638223513560, 
-0.11693169362653144, 0.03321703754050276, -0.025576385560304525, 1731538638313344579, 
-0.11503950111197181, 0.02748520217619621, -0.02247983411092916, 1731538638413346958, 
-0.1120932293016299, 0.016128214416338455, -0.028190567982080215, 1731538638559146522, 
-0.10751905493770675, 0.025068153914216868, -0.021885427167309773, 1731538638609539790, 
-0.10992001589846989, 0.0072440446772000415, -0.023141668743952973, 1731538638769823916, 
-0.10551845189002051, 0.0066686768256207785, -0.026924569386532458, 1731538638859646081, 
-0.09996201000687677, 0.033193352971977085, -0.019874873111541756, 1731538638958868079, 
-0.0985316525238158, 0.023289331220682403, -0.01925073141638911, 1731538639049612834, 
-0.09434996267495954, 0.018706824439724084, -0.02057838783567103, 1731538639169680807, 
-0.09125980812006418, 0.024239481345838716, -0.019891923666390872, 1731538639259634204, 
-0.08661432323921936, 0.02578546478580061, -0.018149360652354604, 1731538639369692794, 
-0.07555675338073886, 0.05234351579775106, -0.016030569052199784, 1731538639449396818, 
-0.07166454706299952, 0.04983258725406614, -0.015660503538201143, 1731538639570609617, 
-0.06929478309759851, 0.0208732342771345, -0.015099068446978352, 1731538639658606243, 
-0.05881493323343623, 0.042832046098544296, -0.012536892766108901, 1731538639758875501, 
-0.05855289642829398, 0.03580628889768178, -0.013103357334592735, 1731538639869200488, 
